EmotionCategory,Probability,FrameID
Anxiety,0.5731679,frame00305
Awe,0.03750842,frame00305
Boredom,0.02836983,frame00305
Confusion,0.00954229,frame00305
Craving,8.276475e-05,frame00305
Disgust,0.0002597175,frame00305
Empathic Pain,0.005614368,frame00305
Entrancement,4.800272e-05,frame00305
Excitement,0.007184173,frame00305
Fear,0.07817651,frame00305
Horror,0.02384009,frame00305
Interest,0.1813193,frame00305
Joy,0.001557643,frame00305
Romance,0.0002985637,frame00305
Sadness,0.04071989,frame00305
Sexual Desire,6.174864e-06,frame00305
Surprise,0.002817319,frame00305
Adoration,0.005843076,frame00313
Aesthetic Appreciation,0.001254541,frame00313
Amusement,0.002389447,frame00313
Anxiety,0.5731679,frame00313
Awe,0.03750842,frame00313
Boredom,0.02836983,frame00313
Confusion,0.00954229,frame00313
Craving,8.276475e-05,frame00313
Disgust,0.0002597175,frame00313
Empathic Pain,0.005614368,frame00313
Entrancement,4.800272e-05,frame00313
Excitement,0.007184173,frame00313
Fear,0.07817651,frame00313
Horror,0.02384009,frame00313
Interest,0.1813193,frame00313
Joy,0.001557643,frame00313
Romance,0.0002985637,frame00313
Sadness,0.04071989,frame00313
Sexual Desire,6.174864e-06,frame00313
Surprise,0.002817319,frame00313
